Pad,Signal,X (um),Y (um),Land #,Hdr #,Net Class,I/O
P1,IN_1_1,0.000,-0.000,1,J1-1,Signal,INPUT1
P2,IN_3_2,0.000,-1500.000,2,J1-2,Signal,INPUT3
P3,IN_3_3,150.000,-0.000,3,J1-3,Signal,INPUT3
P4,VDD,150.000,-1500.000,4,J1-4,Power,
P5,VSS,300.000,-0.000,5,J1-5,Power,
P6,VDD,300.000,-1500.000,6,J1-6,Power,
P7,VSS,450.000,-0.000,7,J1-7,Power,
P8,VDD,450.000,-1500.000,8,J1-8,Power,
P9,IN_1_9,600.000,-0.000,9,J1-9,Signal,INPUT1
P10,OUT_3,600.000,-1500.000,10,J1-10,Analog,OUTPUT3
P11,OUT_COMMON,750.000,-0.000,11,J1-11,Analog,OUTPUT
P12,VDD,750.000,-1500.000,12,J1-12,Power,
P13,VSS,900.000,-0.000,13,J1-13,Power,
P14,VDD,900.000,-1500.000,14,J1-14,Power,
P15,VSS,1050.000,-0.000,15,J1-15,Power,
P16,VDD,1050.000,-1500.000,16,J1-16,Power,
P17,IN_1_17,1200.000,-0.000,17,J1-17,Signal,INPUT1
P18,IN_2_18,1200.000,-1500.000,18,J1-18,Signal,INPUT2
P19,VSS,1350.000,-0.000,19,J1-19,Power,
P20,VDD,1350.000,-1500.000,20,J1-20,Power,
P21,VSS,1500.000,-0.000,21,J1-21,Power,
P22,VDD,1500.000,-1500.000,22,J1-22,Power,
P23,VSS,1650.000,-0.000,23,J1-23,Power,
P24,VDD,1650.000,-1500.000,24,J1-24,Power,
P25,IN_1_25,1800.000,-0.000,25,J1-25,Signal,INPUT1
P26,IN_2_26,1800.000,-1500.000,26,J1-26,Signal,INPUT2
P27,VSS,1950.000,-0.000,27,J1-27,Power,
P28,VDD,1950.000,-1500.000,28,J1-28,Power,
P29,VSS,2100.000,-0.000,29,J1-29,Power,
P30,VDD,2100.000,-1500.000,30,J1-30,Power,
P31,VSS,2250.000,-0.000,31,J1-31,Power,
P32,VDD,2250.000,-1500.000,32,J1-32,Power,
P33,VSS,0.000,-150.000,33,J1-33,Power,
P34,OUT_2,2250.000,-150.000,34,J1-34,Analog,OUTPUT2
P35,VSS,0.000,-300.000,35,J1-35,Power,
P36,VDD,2250.000,-300.000,36,J1-36,Power,
P37,IN_3_37,0.000,-450.000,37,J1-37,Signal,INPUT3
P38,VDD,2250.000,-450.000,38,J1-38,Power,
P39,OUT_1,0.000,-600.000,39,J1-39,Analog,OUTPUT1
P40,VDD,2250.000,-600.000,40,J1-40,Power,
P41,VSS,0.000,-750.000,41,J1-41,Power,
P42,IN_2_42,2250.000,-750.000,42,J1-42,Signal,INPUT2
P43,IN_3_43,0.000,-900.000,43,J1-43,Signal,INPUT3
P44,VDD,2250.000,-900.000,44,J1-44,Power,
P45,VSS,0.000,-1050.000,45,J1-45,Power,
P46,VDD,2250.000,-1050.000,46,J1-46,Power,
P47,VSS,0.000,-1200.000,47,J1-47,Power,
P48,VDD,2250.000,-1200.000,48,J1-48,Power,
P49,VSS,0.000,-1350.000,49,J1-49,Power,
P50,IN_2_50,2250.000,-1350.000,50,J1-50,Signal,INPUT2
