Pad,Signal,X (um),Y (um),Land #,Hdr #,Net Class,I/O
P1,VSS,0.000,-0.000,1,J1-1,Power,
P2,VDD,0.000,-4050.000,2,J1-2,Power,
P3,VSS,150.000,-0.000,3,J1-3,Power,
P4,VDD,150.000,-4050.000,4,J1-4,Power,
P5,VSS,300.000,-0.000,5,J1-5,Power,
P6,VDD,300.000,-4050.000,6,J1-6,Power,
P7,IN_1_7,450.000,-0.000,7,J1-7,Signal,INPUT1
P8,VDD,450.000,-4050.000,8,J1-8,Power,
P9,VSS,600.000,-0.000,9,J1-9,Power,
P10,VDD,600.000,-4050.000,10,J1-10,Power,
P11,VSS,750.000,-0.000,11,J1-11,Power,
P12,VDD,750.000,-4050.000,12,J1-12,Power,
P13,VSS,900.000,-0.000,13,J1-13,Power,
P14,VDD,900.000,-4050.000,14,J1-14,Power,
P15,IN_1_15,1050.000,-0.000,15,J1-15,Signal,INPUT1
P16,VDD,1050.000,-4050.000,16,J1-16,Power,
P17,VSS,1200.000,-0.000,17,J1-17,Power,
P18,VDD,1200.000,-4050.000,18,J1-18,Power,
P19,VSS,1350.000,-0.000,19,J1-19,Power,
P20,VDD,1350.000,-4050.000,20,J1-20,Power,
P21,VSS,1500.000,-0.000,21,J1-21,Power,
P22,VDD,1500.000,-4050.000,22,J1-22,Power,
P23,IN_1_23,1650.000,-0.000,23,J1-23,Signal,INPUT1
P24,VDD,1650.000,-4050.000,24,J1-24,Power,
P25,VSS,1800.000,-0.000,25,J1-25,Power,
P26,VDD,1800.000,-4050.000,26,J1-26,Power,
P27,VSS,1950.000,-0.000,27,J1-27,Power,
P28,VDD,1950.000,-4050.000,28,J1-28,Power,
P29,VSS,2100.000,-0.000,29,J1-29,Power,
P30,VDD,2100.000,-4050.000,30,J1-30,Power,
P31,IN_1_31,2250.000,-0.000,31,J1-31,Signal,INPUT1
P32,VDD,2250.000,-4050.000,32,J1-32,Power,
P33,VSS,2400.000,-0.000,33,J1-33,Power,
P34,VDD,2400.000,-4050.000,34,J1-34,Power,
P35,VSS,2550.000,-0.000,35,J1-35,Power,
P36,VDD,2550.000,-4050.000,36,J1-36,Power,
P37,VSS,2700.000,-0.000,37,J1-37,Power,
P38,VDD,2700.000,-4050.000,38,J1-38,Power,
P39,IN_1_39,2850.000,-0.000,39,J1-39,Signal,INPUT1
P40,VDD,2850.000,-4050.000,40,J1-40,Power,
P41,VSS,3000.000,-0.000,41,J1-41,Power,
P42,VDD,3000.000,-4050.000,42,J1-42,Power,
P43,VSS,3150.000,-0.000,43,J1-43,Power,
P44,VDD,3150.000,-4050.000,44,J1-44,Power,
P45,VSS,3300.000,-0.000,45,J1-45,Power,
P46,VDD,3300.000,-4050.000,46,J1-46,Power,
P47,IN_1_47,3450.000,-0.000,47,J1-47,Signal,INPUT1
P48,VDD,3450.000,-4050.000,48,J1-48,Power,
P49,VSS,3600.000,-0.000,49,J1-49,Power,
P50,VDD,3600.000,-4050.000,50,J1-50,Power,
P51,VSS,3750.000,-0.000,51,J1-51,Power,
P52,VDD,3750.000,-4050.000,52,J1-52,Power,
P53,VSS,3900.000,-0.000,53,J1-53,Power,
P54,VDD,3900.000,-4050.000,54,J1-54,Power,
P55,IN_1_55,4050.000,-0.000,55,J1-55,Signal,INPUT1
P56,VDD,4050.000,-4050.000,56,J1-56,Power,
P57,VSS,4200.000,-0.000,57,J1-57,Power,
P58,VDD,4200.000,-4050.000,58,J1-58,Power,
P59,VSS,4350.000,-0.000,59,J1-59,Power,
P60,VDD,4350.000,-4050.000,60,J1-60,Power,
