Pad,Signal,X (um),Y (um),Land #,Hdr #,Net Class,I/O
P1,VSS,0.000,-0.000,1,J1-1,Power,
P2,IN_4_2,0.000,-2250.000,2,J1-2,Signal,INPUT4
P3,IN_1_3,150.000,-0.000,3,J1-3,Signal,INPUT1
P4,VDD,150.000,-2250.000,4,J1-4,Power,
P5,VSS,300.000,-0.000,5,J1-5,Power,
P6,VDD,300.000,-2250.000,6,J1-6,Power,
P7,VSS,450.000,-0.000,7,J1-7,Power,
P8,VDD,450.000,-2250.000,8,J1-8,Power,
P9,VSS,600.000,-0.000,9,J1-9,Power,
P10,IN_4_10,600.000,-2250.000,10,J1-10,Signal,INPUT4
P11,IN_1_11,750.000,-0.000,11,J1-11,Signal,INPUT1
P12,VDD,750.000,-2250.000,12,J1-12,Power,
P13,VSS,900.000,-0.000,13,J1-13,Power,
P14,VDD,900.000,-2250.000,14,J1-14,Power,
P15,VSS,1050.000,-0.000,15,J1-15,Power,
P16,VDD,1050.000,-2250.000,16,J1-16,Power,
P17,VSS,1200.000,-0.000,17,J1-17,Power,
P18,IN_4_18,1200.000,-2250.000,18,J1-18,Signal,INPUT4
P19,IN_1_19,1350.000,-0.000,19,J1-19,Signal,INPUT1
P20,VDD,1350.000,-2250.000,20,J1-20,Power,
P21,VSS,1500.000,-0.000,21,J1-21,Power,
P22,VDD,1500.000,-2250.000,22,J1-22,Power,
P23,VSS,1650.000,-0.000,23,J1-23,Power,
P24,VDD,1650.000,-2250.000,24,J1-24,Power,
P25,VSS,1800.000,-0.000,25,J1-25,Power,
P26,IN_4_26,1800.000,-2250.000,26,J1-26,Signal,INPUT4
P27,IN_1_27,1950.000,-0.000,27,J1-27,Signal,INPUT1
P28,VDD,1950.000,-2250.000,28,J1-28,Power,
P29,VSS,2100.000,-0.000,29,J1-29,Power,
P30,VDD,2100.000,-2250.000,30,J1-30,Power,
P31,VSS,2250.000,-0.000,31,J1-31,Power,
P32,VDD,2250.000,-2250.000,32,J1-32,Power,
P33,VSS,2400.000,-0.000,33,J1-33,Power,
P34,OUT_4,2400.000,-2250.000,34,J1-34,Analog,OUTPUT4
P35,IN_1_35,2550.000,-0.000,35,J1-35,Signal,INPUT1
P36,VDD,2550.000,-2250.000,36,J1-36,Power,
P37,VSS,2700.000,-0.000,37,J1-37,Power,
P38,VDD,2700.000,-2250.000,38,J1-38,Power,
P39,VSS,2850.000,-0.000,39,J1-39,Power,
P40,VDD,2850.000,-2250.000,40,J1-40,Power,
P41,VSS,3000.000,-0.000,41,J1-41,Power,
P42,IN_3_42,3000.000,-2250.000,42,J1-42,Signal,INPUT3
P43,OUT_2,3150.000,-0.000,43,J1-43,Analog,OUTPUT2
P44,VDD,3150.000,-2250.000,44,J1-44,Power,
P45,VSS,3300.000,-0.000,45,J1-45,Power,
P46,VDD,3300.000,-2250.000,46,J1-46,Power,
P47,VSS,3450.000,-0.000,47,J1-47,Power,
P48,VDD,3450.000,-2250.000,48,J1-48,Power,
P49,VSS,0.000,-150.000,49,J1-49,Power,
P50,VDD,3450.000,-150.000,50,J1-50,Power,
P51,VSS,0.000,-300.000,51,J1-51,Power,
P52,IN_2_52,3450.000,-300.000,52,J1-52,Signal,INPUT2
P53,IN_1_53,0.000,-450.000,53,J1-53,Signal,INPUT1
P54,VDD,3450.000,-450.000,54,J1-54,Power,
P55,VSS,0.000,-600.000,55,J1-55,Power,
P56,VDD,3450.000,-600.000,56,J1-56,Power,
P57,VSS,0.000,-750.000,57,J1-57,Power,
P58,VDD,3450.000,-750.000,58,J1-58,Power,
P59,IN_5_59,0.000,-900.000,59,J1-59,Signal,INPUT5
P60,IN_2_60,3450.000,-900.000,60,J1-60,Signal,INPUT2
P61,OUT_1,0.000,-1050.000,61,J1-61,Analog,OUTPUT1
P62,VDD,3450.000,-1050.000,62,J1-62,Power,
P63,VSS,0.000,-1200.000,63,J1-63,Power,
P64,VDD,3450.000,-1200.000,64,J1-64,Power,
P65,VSS,0.000,-1350.000,65,J1-65,Power,
P66,VDD,3450.000,-1350.000,66,J1-66,Power,
P67,VSS,0.000,-1500.000,67,J1-67,Power,
P68,OUT_3,3450.000,-1500.000,68,J1-68,Analog,OUTPUT3
P69,OUT_5,0.000,-1650.000,69,J1-69,Analog,OUTPUT5
P70,VDD,3450.000,-1650.000,70,J1-70,Power,
P71,VSS,0.000,-1800.000,71,J1-71,Power,
P72,VDD,3450.000,-1800.000,72,J1-72,Power,
P73,VSS,0.000,-1950.000,73,J1-73,Power,
P74,VDD,3450.000,-1950.000,74,J1-74,Power,
P75,VSS,0.000,-2100.000,75,J1-75,Power,
P76,IN_3_76,3450.000,-2100.000,76,J1-76,Signal,INPUT3
