Pad,Signal,X (um),Y (um),Land #,Hdr #,Net Class,I/O
P1,VSS,0.000,-0.000,1,J1-1,Power,
P2,VDD,0.000,-900.000,2,J1-2,Power,
P3,VSS,150.000,-0.000,3,J1-3,Power,
P4,VDD,150.000,-900.000,4,J1-4,Power,
P5,IN_1_5,300.000,-0.000,5,J1-5,Signal,INPUT1
P6,VDD,300.000,-900.000,6,J1-6,Power,
P7,VSS,450.000,-0.000,7,J1-7,Power,
P8,VDD,450.000,-900.000,8,J1-8,Power,
P9,VSS,600.000,-0.000,9,J1-9,Power,
P10,VDD,600.000,-900.000,10,J1-10,Power,
P11,VSS,750.000,-0.000,11,J1-11,Power,
P12,VDD,750.000,-900.000,12,J1-12,Power,
P13,VSS,900.000,-0.000,13,J1-13,Power,
P14,VDD,900.000,-900.000,14,J1-14,Power,
P15,VSS,1050.000,-0.000,15,J1-15,Power,
P16,VDD,1050.000,-900.000,16,J1-16,Power,
P17,VSS,1200.000,-0.000,17,J1-17,Power,
P18,VDD,1200.000,-900.000,18,J1-18,Power,
P19,VSS,1350.000,-0.000,19,J1-19,Power,
P20,VDD,1350.000,-900.000,20,J1-20,Power,
P21,VSS,0.000,-150.000,21,J1-21,Power,
P22,VDD,1350.000,-150.000,22,J1-22,Power,
P23,OUT_1,0.000,-300.000,23,J1-23,Analog,OUTPUT1
P24,VDD,1350.000,-300.000,24,J1-24,Power,
P25,VSS,0.000,-450.000,25,J1-25,Power,
P26,VDD,1350.000,-450.000,26,J1-26,Power,
P27,VSS,0.000,-600.000,27,J1-27,Power,
P28,VDD,1350.000,-600.000,28,J1-28,Power,
P29,VSS,0.000,-750.000,29,J1-29,Power,
P30,VDD,1350.000,-750.000,30,J1-30,Power,
