Pad,Signal,X (um),Y (um)
T1,NET1,-3426.259,2427.792
T2,NET2,-3333.658,2427.792
T3,NET3,-3241.056,2427.792
T4,NET4,-3148.455,2427.792
T5,NET5,-3055.853,2427.792
T6,NET6,-2963.251,2427.792
T7,NET7,-2870.650,2427.792
T8,NET8,-2778.048,2427.792
T9,NET9,-2685.447,2427.792
T10,NET10,-2592.845,2427.792
T11,NET11,-2500.243,2427.792
T12,NET12,-2407.642,2427.792
T13,NET13,-2315.040,2427.792
T14,NET14,-2222.439,2427.792
T15,NET15,-2129.837,2427.792
T16,NET16,-2037.235,2427.792
T17,NET17,-1944.634,2427.792
T18,NET18,-1852.032,2427.792
T19,NET19,-1759.431,2427.792
T20,NET20,-1666.829,2427.792
T21,NET21,-1574.227,2427.792
T22,NET22,-1481.626,2427.792
T23,NET23,-1389.024,2427.792
T24,NET24,-1296.422,2427.792
T25,NET25,-1203.821,2427.792
T26,NET26,-1111.219,2427.792
T27,NET27,-1018.618,2427.792
T28,NET28,-926.016,2427.792
T29,NET29,-833.414,2427.792
T30,NET30,-740.813,2427.792
T31,NET31,-648.211,2427.792
T32,NET32,-555.610,2427.792
T33,NET33,-463.008,2427.792
T34,NET34,-370.406,2427.792
T35,NET35,-277.805,2427.792
T36,NET36,-185.203,2427.792
T37,NET37,-92.602,2427.792
T38,NET38,0.000,2427.792
T39,NET39,92.602,2427.792
T40,NET40,185.203,2427.792
T41,NET41,277.805,2427.792
T42,NET42,370.406,2427.792
T43,NET43,463.008,2427.792
T44,NET44,555.610,2427.792
T45,NET45,648.211,2427.792
T46,NET46,740.813,2427.792
T47,NET47,833.414,2427.792
T48,NET48,926.016,2427.792
T49,NET49,1018.618,2427.792
T50,NET50,1111.219,2427.792
T51,NET51,1203.821,2427.792
T52,NET52,1296.422,2427.792
T53,NET53,1389.024,2427.792
T54,NET54,1481.626,2427.792
T55,NET55,1574.227,2427.792
T56,NET56,1666.829,2427.792
T57,NET57,1759.431,2427.792
T58,NET58,1852.032,2427.792
T59,NET59,1944.634,2427.792
T60,NET60,2037.235,2427.792
T61,NET61,2129.837,2427.792
T62,NET62,2222.439,2427.792
T63,NET63,2315.040,2427.792
T64,NET64,2407.642,2427.792
T65,NET65,2500.243,2427.792
T66,NET66,2592.845,2427.792
T67,NET67,2685.447,2427.792
T68,NET68,2778.048,2427.792
T69,NET69,2870.650,2427.792
T70,NET70,2963.251,2427.792
T71,NET71,3055.853,2427.792
T72,NET72,3148.455,2427.792
T73,NET73,3241.056,2427.792
T74,NET74,3333.658,2427.792
T75,NET75,3426.259,2427.792
B1,NET76,-3426.259,-2427.792
B2,NET77,-3333.658,-2427.792
B3,NET78,-3241.056,-2427.792
B4,NET79,-3148.455,-2427.792
B5,NET80,-3055.853,-2427.792
B6,NET81,-2963.251,-2427.792
B7,NET82,-2870.650,-2427.792
B8,NET83,-2778.048,-2427.792
B9,NET84,-2685.447,-2427.792
B10,NET85,-2592.845,-2427.792
B11,NET86,-2500.243,-2427.792
B12,NET87,-2407.642,-2427.792
