Pad,Signal,X (um),Y (um)
T1,NET1,-3414.684,2427.792
T2,NET2,-3298.932,2427.792
T3,NET3,-3183.180,2427.792
T4,NET4,-3067.428,2427.792
T5,NET5,-2951.676,2427.792
T6,NET6,-2835.924,2427.792
T7,NET7,-2720.172,2427.792
T8,NET8,-2604.420,2427.792
T9,NET9,-2488.668,2427.792
T10,NET10,-2372.916,2427.792
T11,NET11,-2257.164,2427.792
T12,NET12,-2141.412,2427.792
T13,NET13,-2025.660,2427.792
T14,NET14,-1909.908,2427.792
T15,NET15,-1794.156,2427.792
T16,NET16,-1678.404,2427.792
T17,NET17,-1562.652,2427.792
T18,NET18,-1446.900,2427.792
T19,NET19,-1331.148,2427.792
T20,NET20,-1215.396,2427.792
T21,NET21,-1099.644,2427.792
T22,NET22,-983.892,2427.792
T23,NET23,-868.140,2427.792
T24,NET24,-752.388,2427.792
T25,NET25,-636.636,2427.792
T26,NET26,-520.884,2427.792
T27,NET27,-405.132,2427.792
T28,NET28,-289.380,2427.792
T29,NET29,-173.628,2427.792
T30,NET30,-57.876,2427.792
T31,NET31,57.876,2427.792
T32,NET32,173.628,2427.792
T33,NET33,289.380,2427.792
T34,NET34,405.132,2427.792
T35,NET35,520.884,2427.792
T36,NET36,636.636,2427.792
T37,NET37,752.388,2427.792
T38,NET38,868.140,2427.792
T39,NET39,983.892,2427.792
T40,NET40,1099.644,2427.792
T41,NET41,1215.396,2427.792
T42,NET42,1331.148,2427.792
T43,NET43,1446.900,2427.792
T44,NET44,1562.652,2427.792
T45,NET45,1678.404,2427.792
T46,NET46,1794.156,2427.792
T47,NET47,1909.908,2427.792
T48,NET48,2025.660,2427.792
T49,NET49,2141.412,2427.792
T50,NET50,2257.164,2427.792
T51,NET51,2372.916,2427.792
T52,NET52,2488.668,2427.792
T53,NET53,2604.420,2427.792
T54,NET54,2720.172,2427.792
T55,NET55,2835.924,2427.792
T56,NET56,2951.676,2427.792
T57,NET57,3067.428,2427.792
T58,NET58,3183.180,2427.792
T59,NET59,3298.932,2427.792
T60,NET60,3414.684,2427.792
B1,NET61,-3414.684,-2427.792
B2,NET62,-3298.932,-2427.792
B3,NET63,-3183.180,-2427.792
B4,NET64,-3067.428,-2427.792
B5,NET65,-2951.676,-2427.792
B6,NET66,-2835.924,-2427.792
B7,NET67,-2720.172,-2427.792
B8,NET68,-2604.420,-2427.792
B9,NET69,-2488.668,-2427.792
B10,NET70,-2372.916,-2427.792
B11,NET71,-2257.164,-2427.792
B12,NET72,-2141.412,-2427.792
B13,NET73,-2025.660,-2427.792
B14,NET74,-1909.908,-2427.792
B15,NET75,-1794.156,-2427.792
B16,NET76,-1678.404,-2427.792
B17,NET77,-1562.652,-2427.792
B18,NET78,-1446.900,-2427.792
B19,NET79,-1331.148,-2427.792
B20,NET80,-1215.396,-2427.792
B21,NET81,-1099.644,-2427.792
B22,NET82,-983.892,-2427.792
B23,NET83,-868.140,-2427.792
B24,NET84,-752.388,-2427.792
B25,NET85,-636.636,-2427.792
B26,NET86,-520.884,-2427.792
B27,NET87,-405.132,-2427.792
B28,NET88,-289.380,-2427.792
B29,NET89,-173.628,-2427.792
B30,NET90,-57.876,-2427.792
B31,NET91,57.876,-2427.792
B32,NET92,173.628,-2427.792
B33,NET93,289.380,-2427.792
B34,NET94,405.132,-2427.792
B35,NET95,520.884,-2427.792
B36,NET96,636.636,-2427.792
B37,NET97,752.388,-2427.792
B38,NET98,868.140,-2427.792
B39,NET99,983.892,-2427.792
B40,NET100,1099.644,-2427.792
B41,NET101,1215.396,-2427.792
B42,NET102,1331.148,-2427.792
B43,NET103,1446.900,-2427.792
B44,NET104,1562.652,-2427.792
B45,NET105,1678.404,-2427.792
B46,NET106,1794.156,-2427.792
