Pad,Signal,X (um),Y (um)
L1,NET1,-3935.365,-2161.908
L2,NET2,-3935.365,-2103.478
L3,NET3,-3935.365,-2045.048
L4,NET4,-3935.365,-1986.618
L5,NET5,-3935.365,-1928.188
L6,NET6,-3935.365,-1869.758
L7,NET7,-3935.365,-1811.329
L8,NET8,-3935.365,-1752.899
L9,NET9,-3935.365,-1694.469
L10,NET10,-3935.365,-1636.039
L11,NET11,-3935.365,-1577.609
L12,NET12,-3935.365,-1519.179
L13,NET13,-3935.365,-1460.749
L14,NET14,-3935.365,-1402.319
L15,NET15,-3935.365,-1343.889
L16,NET16,-3935.365,-1285.459
L17,NET17,-3935.365,-1227.029
L18,NET18,-3935.365,-1168.599
L19,NET19,-3935.365,-1110.169
L20,NET20,-3935.365,-1051.739
L21,NET21,-3935.365,-993.309
L22,NET22,-3935.365,-934.879
L23,NET23,-3935.365,-876.449
L24,NET24,-3935.365,-818.019
L25,NET25,-3935.365,-759.589
L26,NET26,-3935.365,-701.159
L27,NET27,-3935.365,-642.729
L28,NET28,-3935.365,-584.300
L29,NET29,-3935.365,-525.870
L30,NET30,-3935.365,-467.440
L31,NET31,-3935.365,-409.010
L32,NET32,-3935.365,-350.580
L33,NET33,-3935.365,-292.150
L34,NET34,-3935.365,-233.720
L35,NET35,-3935.365,-175.290
L36,NET36,-3935.365,-116.860
L37,NET37,-3935.365,-58.430
L38,NET38,-3935.365,0.000
L39,NET39,-3935.365,58.430
L40,NET40,-3935.365,116.860
L41,NET41,-3935.365,175.290
L42,NET42,-3935.365,233.720
L43,NET43,-3935.365,292.150
L44,NET44,-3935.365,350.580
L45,NET45,-3935.365,409.010
L46,NET46,-3935.365,467.440
L47,NET47,-3935.365,525.870
L48,NET48,-3935.365,584.300
L49,NET49,-3935.365,642.729
L50,NET50,-3935.365,701.159
L51,NET51,-3935.365,759.589
L52,NET52,-3935.365,818.019
L53,NET53,-3935.365,876.449
L54,NET54,-3935.365,934.879
L55,NET55,-3935.365,993.309
L56,NET56,-3935.365,1051.739
L57,NET57,-3935.365,1110.169
L58,NET58,-3935.365,1168.599
L59,NET59,-3935.365,1227.029
L60,NET60,-3935.365,1285.459
L61,NET61,-3935.365,1343.889
L62,NET62,-3935.365,1402.319
L63,NET63,-3935.365,1460.749
L64,NET64,-3935.365,1519.179
L65,NET65,-3935.365,1577.609
L66,NET66,-3935.365,1636.039
L67,NET67,-3935.365,1694.469
L68,NET68,-3935.365,1752.899
L69,NET69,-3935.365,1811.329
L70,NET70,-3935.365,1869.758
L71,NET71,-3935.365,1928.188
L72,NET72,-3935.365,1986.618
L73,NET73,-3935.365,2045.048
L74,NET74,-3935.365,2103.478
L75,NET75,-3935.365,2161.908
R1,NET76,3935.365,-2161.908
R2,NET77,3935.365,-2103.478
R3,NET78,3935.365,-2045.048
R4,NET79,3935.365,-1986.618
R5,NET80,3935.365,-1928.188
R6,NET81,3935.365,-1869.758
R7,NET82,3935.365,-1811.329
R8,NET83,3935.365,-1752.899
R9,NET84,3935.365,-1694.469
R10,NET85,3935.365,-1636.039
R11,NET86,3935.365,-1577.609
R12,NET87,3935.365,-1519.179
R13,NET88,3935.365,-1460.749
R14,NET89,3935.365,-1402.319
R15,NET90,3935.365,-1343.889
R16,NET91,3935.365,-1285.459
R17,NET92,3935.365,-1227.029
R18,NET93,3935.365,-1168.599
R19,NET94,3935.365,-1110.169
R20,NET95,3935.365,-1051.739
R21,NET96,3935.365,-993.309
R22,NET97,3935.365,-934.879
R23,NET98,3935.365,-876.449
R24,NET99,3935.365,-818.019
R25,NET100,3935.365,-759.589
R26,NET101,3935.365,-701.159
R27,NET102,3935.365,-642.729
R28,NET103,3935.365,-584.300
R29,NET104,3935.365,-525.870
R30,NET105,3935.365,-467.440
R31,NET106,3935.365,-409.010
R32,NET107,3935.365,-350.580
R33,NET108,3935.365,-292.150
R34,NET109,3935.365,-233.720
R35,NET110,3935.365,-175.290
R36,NET111,3935.365,-116.860
R37,NET112,3935.365,-58.430
R38,NET113,3935.365,0.000
R39,NET114,3935.365,58.430
R40,NET115,3935.365,116.860
R41,NET116,3935.365,175.290
R42,NET117,3935.365,233.720
R43,NET118,3935.365,292.150
R44,NET119,3935.365,350.580
R45,NET120,3935.365,409.010
R46,NET121,3935.365,467.440
R47,NET122,3935.365,525.870
R48,NET123,3935.365,584.300
R49,NET124,3935.365,642.729
R50,NET125,3935.365,701.159
R51,NET126,3935.365,759.589
R52,NET127,3935.365,818.019
R53,NET128,3935.365,876.449
R54,NET129,3935.365,934.879
R55,NET130,3935.365,993.309
R56,NET131,3935.365,1051.739
R57,NET132,3935.365,1110.169
R58,NET133,3935.365,1168.599
R59,NET134,3935.365,1227.029
R60,NET135,3935.365,1285.459
R61,NET136,3935.365,1343.889
R62,NET137,3935.365,1402.319
R63,NET138,3935.365,1460.749
R64,NET139,3935.365,1519.179
R65,NET140,3935.365,1577.609
R66,NET141,3935.365,1636.039
R67,NET142,3935.365,1694.469
R68,NET143,3935.365,1752.899
R69,NET144,3935.365,1811.329
R70,NET145,3935.365,1869.758
R71,NET146,3935.365,1928.188
R72,NET147,3935.365,1986.618
R73,NET148,3935.365,2045.048
R74,NET149,3935.365,2103.478
R75,NET150,3935.365,2161.908
