Pad,Signal,X (um),Y (um)
T1,NET1,-2082.500,1350.000
T2,NET2,-1997.500,1350.000
T3,NET3,-1912.500,1350.000
T4,NET4,-1827.500,1350.000
T5,NET5,-1742.500,1350.000
T6,NET6,-1657.500,1350.000
T7,NET7,-1572.500,1350.000
T8,NET8,-1487.500,1350.000
T9,NET9,-1402.500,1350.000
T10,NET10,-1317.500,1350.000
T11,NET11,-1232.500,1350.000
T12,NET12,-1147.500,1350.000
T13,NET13,-1062.500,1350.000
T14,NET14,-977.500,1350.000
T15,NET15,-892.500,1350.000
T16,NET16,-807.500,1350.000
T17,NET17,-722.500,1350.000
T18,NET18,-637.500,1350.000
T19,NET19,-552.500,1350.000
T20,NET20,-467.500,1350.000
T21,NET21,-382.500,1350.000
T22,NET22,-297.500,1350.000
T23,NET23,-212.500,1350.000
T24,NET24,-127.500,1350.000
T25,NET25,-42.500,1350.000
T26,NET26,42.500,1350.000
T27,NET27,127.500,1350.000
T28,NET28,212.500,1350.000
T29,NET29,297.500,1350.000
T30,NET30,382.500,1350.000
T31,NET31,467.500,1350.000
T32,NET32,552.500,1350.000
T33,NET33,637.500,1350.000
T34,NET34,722.500,1350.000
T35,NET35,807.500,1350.000
T36,NET36,892.500,1350.000
T37,NET37,977.500,1350.000
T38,NET38,1062.500,1350.000
T39,NET39,1147.500,1350.000
T40,NET40,1232.500,1350.000
T41,NET41,1317.500,1350.000
T42,NET42,1402.500,1350.000
T43,NET43,1487.500,1350.000
T44,NET44,1572.500,1350.000
T45,NET45,1657.500,1350.000
T46,NET46,1742.500,1350.000
T47,NET47,1827.500,1350.000
T48,NET48,1912.500,1350.000
T49,NET49,1997.500,1350.000
T50,NET50,2082.500,1350.000
B1,NET51,-2082.500,-1350.000
B2,NET52,-1997.500,-1350.000
B3,NET53,-1912.500,-1350.000
B4,NET54,-1827.500,-1350.000
B5,NET55,-1742.500,-1350.000
B6,NET56,-1657.500,-1350.000
B7,NET57,-1572.500,-1350.000
B8,NET58,-1487.500,-1350.000
B9,NET59,-1402.500,-1350.000
B10,NET60,-1317.500,-1350.000
B11,NET61,-1232.500,-1350.000
B12,NET62,-1147.500,-1350.000
B13,NET63,-1062.500,-1350.000
B14,NET64,-977.500,-1350.000
