land_id,side,signal,die_pad,land_x_mm,land_y_mm,die_x_um,die_y_um
T1,T,VSS,T2,-41.011,26.215,238.512,-62.633
T2,T,VDD08D,T3,-39.811,26.215,331.612,-62.633
T3,T,VSS,T4,-38.611,26.215,445.414,-62.633
T4,T,SEL_APB_SPI_N,T5,-37.411,26.215,538.514,-62.633
T5,T,VSS,T6,-36.211,26.215,631.614,-62.633
T6,T,VSS,T7,-35.011,26.215,745.415,-62.633
T7,T,SDA,T8,-33.811,26.215,838.516,-62.633
T8,T,VDD08PA,T9,-32.611,26.215,931.615,-62.633
T9,T,VDD08D,T10,-31.411,26.215,1045.417,-62.633
T10,T,SCL,T11,-30.211,26.215,1138.518,-62.633
T11,T,VDD08DLL<7>,T12,-29.011,26.215,1231.617,-62.633
T12,T,VDD18PLL<7>,T13,-27.811,26.215,1345.418,-62.633
T13,T,VDD08DLL<6>,T14,-26.611,26.215,1438.520,-62.633
T14,T,VSS,T15,-25.411,26.215,1531.618,-62.633
T15,T,VDD18PLL<6>,T16,-24.211,26.215,1645.422,-62.633
T16,T,LB_PCLK,T17,-23.011,26.215,1738.522,-62.633
T17,T,VDD08PA,T18,-21.811,26.215,1831.622,-62.633
T18,T,VSS,T19,-20.611,26.215,1945.424,-62.633
T19,T,VDD50PD,T20,-19.411,26.215,2038.524,-62.633
T20,T,VDD08PA,T21,-18.211,26.215,2131.624,-62.633
T21,T,VSS,T22,-17.011,26.215,2245.426,-62.633
T22,T,RESET_N,T23,-15.811,26.215,2338.526,-62.633
T23,T,VDD08TIA,T24,-14.611,26.215,2431.626,-62.633
T24,T,VSSTIA,T25,-13.411,26.215,2545.428,-62.633
T25,T,VDD08,T26,-12.211,26.215,2638.528,-62.633
T26,T,VDD08D,T27,-11.011,26.215,2731.628,-62.633
T27,T,VDD08PA,T28,-9.811,26.215,2845.430,-62.633
T28,T,VDD08,T29,-8.611,26.215,2938.530,-62.633
T29,T,VSSTIA,T30,-7.411,26.215,3031.630,-62.633
T30,T,VDD08TIA,T31,-6.211,26.215,3145.432,-62.633
T31,T,SDI,T32,-5.011,26.215,3238.532,-62.633
T32,T,VSS,T33,-3.811,26.215,3331.628,-62.633
T33,T,VDD08PA,T34,-2.611,26.215,3445.434,-62.633
T34,T,CSB,T35,-1.411,26.215,3538.534,-62.633
T35,T,VDD08D,T36,-0.211,26.215,3631.634,-62.633
T36,T,VDD08PA,T37,0.989,26.215,3745.436,-62.633
T37,T,VDD08DLL<0>,T38,2.189,26.215,3838.536,-62.633
T38,T,VDD18PLL<0>,T39,3.389,26.215,3931.636,-62.633
T39,T,VSS,T40,4.589,26.215,4045.432,-62.633
T40,T,SCAN_MODE,T41,5.789,26.215,4138.538,-62.633
T41,T,VDD18PLL<1>,T42,6.989,26.215,4231.638,-62.633
T42,T,VDD08DLL<1>,T43,8.189,26.215,4345.434,-62.633
T43,T,SCK,T44,9.389,26.215,4438.540,-62.633
T44,T,VDD08D,T45,10.589,26.215,4531.634,-62.633
T45,T,VDD12LED,T46,11.789,26.215,4645.435,-62.633
T46,T,SCAN_SAFE_MODE,T47,12.989,26.215,4738.542,-62.633
T47,T,VSSLED,T48,14.189,26.215,4831.635,-62.633
T48,T,VDD50LED,T49,15.389,26.215,4945.437,-62.633
T49,T,VDD50LED_SNS,T50,16.589,26.215,5038.544,-62.633
T50,T,VSSLED,T51,17.789,26.215,5131.637,-62.633
T51,T,VDD12LED,T52,18.989,26.215,5245.446,-62.633
T52,T,SCAN_EN,T53,20.189,26.215,5338.546,-62.633
T53,T,VDD08D,T54,21.389,26.215,5431.646,-62.633
T54,T,VDD50LED,T55,22.589,26.215,5545.448,-62.633
T55,T,SCAN_CLK,T56,23.789,26.215,5638.548,-62.633
T56,T,VSSLED,T57,24.989,26.215,5731.640,-62.633
T57,T,VDD12LED,T58,26.189,26.215,5845.450,-62.633
T58,T,DFT_SCAN_SDI<1>,T59,27.389,26.215,5938.550,-62.633
T59,T,VSSLED,T60,28.589,26.215,6031.650,-62.633
T60,T,VDD50LED,T61,29.789,26.215,6145.452,-62.633
T61,T,DFT_SCAN_SDI<2>,T62,30.989,26.215,6238.552,-62.633
T62,T,VDD08D,T63,32.189,26.215,6331.652,-62.633
T63,T,VDD08,T64,33.389,26.215,6445.454,-62.633
T64,T,VDD18E,T65,34.589,26.215,6538.554,-62.633
T65,T,REXT1,T66,35.789,26.215,6631.654,-62.633
T66,T,VATB_LED1,T67,36.989,26.215,6745.456,-62.633
T67,T,F,T68,38.189,26.215,6838.556,-62.633
T68,T,REXT2,T69,39.389,26.215,6931.656,-62.633
T69,T,VATB_LED0,T70,40.589,26.215,7045.458,-62.633
T70,T,DFT_SCN_SDO<2>,T71,41.789,26.215,7138.558,-62.633
T71,T,VSS,T72,42.989,26.215,7231.658,-62.633
T72,T,VSS,T73,44.189,26.215,7345.460,-62.633
T73,T,DFT_SCN_SDO<1>,T74,45.389,26.215,7438.560,-62.633
T74,T,VSS,T75,46.589,26.215,7531.660,-62.633
T75,T,VDD08D,T76,47.789,26.215,7645.450,-62.633
T76,T,VSS,T77,48.989,26.215,7738.550,-62.633
B1,B,VSS,B3,-28.358,-31.204,331.612,-4925.771
B2,B,CLKOUTP_MUX,B4,-27.158,-31.204,445.414,-4925.771
B3,B,VSS,B5,-25.958,-31.204,538.514,-4925.771
B4,B,CLKOUTN_MUX,B6,-24.758,-31.204,631.614,-4925.771
