land_id,side,signal,die_pad,land_x_mm,land_y_mm,die_x_um,die_y_um
T1,T,VSS,T2,56.600,104.910,97850.169,78631.569
T2,T,VDD08D,T3,57.800,104.910,97943.269,78631.569
T3,T,VSS,T4,59.000,104.910,98057.071,78631.569
T4,T,SEL_APB_SPI_N,T5,60.200,104.910,98150.171,78631.569
T5,T,VSS,T6,61.400,104.910,98243.271,78631.569
T6,T,VSS,T7,62.600,104.910,98357.072,78631.569
T7,T,SDA,T8,63.800,104.910,98450.173,78631.569
T8,T,VDD08PA,T9,65.000,104.910,98543.272,78631.569
T9,T,VDD08D,T10,66.200,104.910,98657.074,78631.569
T10,T,SCL,T11,67.400,104.910,98750.175,78631.569
T11,T,VDD08DLL<7>,T12,68.600,104.910,98843.274,78631.569
T12,T,VDD18PLL<7>,T13,69.800,104.910,98957.075,78631.569
T13,T,VDD08DLL<6>,T14,71.000,104.910,99050.177,78631.569
T14,T,VSS,T15,72.200,104.910,99143.275,78631.569
T15,T,VDD18PLL<6>,T16,73.400,104.910,99257.079,78631.569
T16,T,LB_PCLK,T17,74.600,104.910,99350.179,78631.569
T17,T,VDD08PA,T18,75.800,104.910,99443.279,78631.569
T18,T,VSS,T19,77.000,104.910,99557.081,78631.569
T19,T,VDD50PD,T20,78.200,104.910,99650.181,78631.569
T20,T,VDD08PA,T21,79.400,104.910,99743.281,78631.569
T21,T,VSS,T22,80.600,104.910,99857.083,78631.569
T22,T,RESET_N,T23,81.800,104.910,99950.183,78631.569
T23,T,VDD08TIA,T24,83.000,104.910,100043.283,78631.569
T24,T,VSSTIA,T25,84.200,104.910,100157.085,78631.569
T25,T,VDD08,T26,85.400,104.910,100250.185,78631.569
T26,T,VDD08D,T27,86.600,104.910,100343.285,78631.569
T27,T,VDD08PA,T28,87.800,104.910,100457.087,78631.569
T28,T,VDD08,T29,89.000,104.910,100550.187,78631.569
T29,T,VSSTIA,T30,90.200,104.910,100643.287,78631.569
T30,T,VDD08TIA,T31,91.400,104.910,100757.089,78631.569
T31,T,SDI,T32,92.600,104.910,100850.189,78631.569
T32,T,VSS,T33,93.800,104.910,100943.285,78631.569
T33,T,VDD08PA,T34,95.000,104.910,101057.091,78631.569
T34,T,CSB,T35,96.200,104.910,101150.191,78631.569
T35,T,VDD08D,T36,97.400,104.910,101243.291,78631.569
T36,T,VDD08PA,T37,98.600,104.910,101357.093,78631.569
T37,T,VDD08DLL<0>,T38,99.800,104.910,101450.193,78631.569
T38,T,VDD18PLL<0>,T39,101.000,104.910,101543.293,78631.569
T39,T,VSS,T40,102.200,104.910,101657.089,78631.569
T40,T,SCAN_MODE,T41,103.400,104.910,101750.195,78631.569
T41,T,VDD18PLL<1>,T42,104.600,104.910,101843.295,78631.569
T42,T,VDD08DLL<1>,T43,105.800,104.910,101957.091,78631.569
T43,T,SCK,T44,107.000,104.910,102050.197,78631.569
T44,T,VDD08D,T45,108.200,104.910,102143.291,78631.569
T45,T,VDD12LED,T46,109.400,104.910,102257.092,78631.569
T46,T,SCAN_SAFE_MODE,T47,110.600,104.910,102350.199,78631.569
T47,T,VSSLED,T48,111.800,104.910,102443.292,78631.569
T48,T,VDD50LED,T49,113.000,104.910,102557.094,78631.569
T49,T,VDD50LED_SNS,T50,114.200,104.910,102650.201,78631.569
T50,T,VSSLED,T51,115.400,104.910,102743.294,78631.569
T51,T,VDD12LED,T52,116.600,104.910,102857.103,78631.569
T52,T,SCAN_EN,T53,117.800,104.910,102950.203,78631.569
T53,T,VDD08D,T54,119.000,104.910,103043.303,78631.569
T54,T,VDD50LED,T55,120.200,104.910,103157.105,78631.569
T55,T,SCAN_CLK,T56,121.400,104.910,103250.205,78631.569
T56,T,VSSLED,T57,122.600,104.910,103343.297,78631.569
T57,T,VDD12LED,T58,123.800,104.910,103457.107,78631.569
T58,T,DFT_SCAN_SDI<1>,T59,125.000,104.910,103550.207,78631.569
T59,T,VSSLED,T60,126.200,104.910,103643.307,78631.569
T60,T,VDD50LED,T61,127.400,104.910,103757.109,78631.569
T61,T,DFT_SCAN_SDI<2>,T62,128.600,104.910,103850.209,78631.569
T62,T,VDD08D,T63,129.800,104.910,103943.309,78631.569
T63,T,VDD08,T64,131.000,104.910,104057.111,78631.569
T64,T,VDD18E,T65,132.200,104.910,104150.211,78631.569
T65,T,REXT1,T66,133.400,104.910,104243.311,78631.569
T66,T,VATB_LED1,T67,134.600,104.910,104357.113,78631.569
T67,T,F,T68,135.800,104.910,104450.213,78631.569
T68,T,REXT2,T69,137.000,104.910,104543.313,78631.569
