land_id,side,row,signal,die_pad,land_x_mm,land_y_mm,die_x_um,die_y_um
T1,T,0,NET1,T1,75.626,102.674,98173.741,78627.792
T2,T,1,NET2,T2,76.328,103.874,98266.342,78627.792
T3,T,0,NET3,T3,77.030,102.674,98358.944,78627.792
T4,T,1,NET4,T4,77.732,103.874,98451.545,78627.792
T5,T,0,NET5,T5,78.434,102.674,98544.147,78627.792
T6,T,1,NET6,T6,79.136,103.874,98636.749,78627.792
T7,T,0,NET7,T7,79.838,102.674,98729.350,78627.792
T8,T,1,NET8,T8,80.540,103.874,98821.952,78627.792
T9,T,0,NET9,T9,81.242,102.674,98914.553,78627.792
T10,T,1,NET10,T10,81.944,103.874,99007.155,78627.792
T11,T,0,NET11,T11,82.646,102.674,99099.757,78627.792
T12,T,1,NET12,T12,83.348,103.874,99192.358,78627.792
T13,T,0,NET13,T13,84.050,102.674,99284.960,78627.792
T14,T,1,NET14,T14,84.752,103.874,99377.561,78627.792
T15,T,0,NET15,T15,85.454,102.674,99470.163,78627.792
T16,T,1,NET16,T16,86.156,103.874,99562.765,78627.792
T17,T,0,NET17,T17,86.858,102.674,99655.366,78627.792
T18,T,1,NET18,T18,87.560,103.874,99747.968,78627.792
T19,T,0,NET19,T19,88.262,102.674,99840.569,78627.792
T20,T,1,NET20,T20,88.964,103.874,99933.171,78627.792
T21,T,0,NET21,T21,89.666,102.674,100025.773,78627.792
T22,T,1,NET22,T22,90.368,103.874,100118.374,78627.792
T23,T,0,NET23,T23,91.070,102.674,100210.976,78627.792
T24,T,1,NET24,T24,91.772,103.874,100303.578,78627.792
T25,T,0,NET25,T25,92.474,102.674,100396.179,78627.792
T26,T,1,NET26,T26,93.176,103.874,100488.781,78627.792
T27,T,0,NET27,T27,93.878,102.674,100581.382,78627.792
T28,T,1,NET28,T28,94.580,103.874,100673.984,78627.792
T29,T,0,NET29,T29,95.282,102.674,100766.586,78627.792
T30,T,1,NET30,T30,95.984,103.874,100859.187,78627.792
T31,T,0,NET31,T31,96.686,102.674,100951.789,78627.792
T32,T,1,NET32,T32,97.388,103.874,101044.390,78627.792
T33,T,0,NET33,T33,98.090,102.674,101136.992,78627.792
T34,T,1,NET34,T34,98.792,103.874,101229.594,78627.792
T35,T,0,NET35,T35,99.494,102.674,101322.195,78627.792
T36,T,1,NET36,T36,100.196,103.874,101414.797,78627.792
T37,T,0,NET37,T37,100.898,102.674,101507.398,78627.792
T38,T,1,NET38,T38,101.600,103.874,101600.000,78627.792
T39,T,0,NET39,T39,102.302,102.674,101692.602,78627.792
T40,T,1,NET40,T40,103.004,103.874,101785.203,78627.792
T41,T,0,NET41,T41,103.706,102.674,101877.805,78627.792
T42,T,1,NET42,T42,104.408,103.874,101970.406,78627.792
T43,T,0,NET43,T43,105.110,102.674,102063.008,78627.792
T44,T,1,NET44,T44,105.812,103.874,102155.610,78627.792
T45,T,0,NET45,T45,106.514,102.674,102248.211,78627.792
T46,T,1,NET46,T46,107.216,103.874,102340.813,78627.792
T47,T,0,NET47,T47,107.918,102.674,102433.414,78627.792
T48,T,1,NET48,T48,108.620,103.874,102526.016,78627.792
T49,T,0,NET49,T49,109.322,102.674,102618.618,78627.792
T50,T,1,NET50,T50,110.024,103.874,102711.219,78627.792
T51,T,0,NET51,T51,110.726,102.674,102803.821,78627.792
T52,T,1,NET52,T52,111.428,103.874,102896.422,78627.792
T53,T,0,NET53,T53,112.130,102.674,102989.024,78627.792
T54,T,1,NET54,T54,112.832,103.874,103081.626,78627.792
T55,T,0,NET55,T55,113.534,102.674,103174.227,78627.792
T56,T,1,NET56,T56,114.236,103.874,103266.829,78627.792
T57,T,0,NET57,T57,114.938,102.674,103359.431,78627.792
T58,T,1,NET58,T58,115.640,103.874,103452.032,78627.792
T59,T,0,NET59,T59,116.342,102.674,103544.634,78627.792
T60,T,1,NET60,T60,117.044,103.874,103637.235,78627.792
T61,T,0,NET61,T61,117.746,102.674,103729.837,78627.792
T62,T,1,NET62,T62,118.448,103.874,103822.439,78627.792
T63,T,0,NET63,T63,119.150,102.674,103915.040,78627.792
T64,T,1,NET64,T64,119.852,103.874,104007.642,78627.792
T65,T,0,NET65,T65,120.554,102.674,104100.243,78627.792
T66,T,1,NET66,T66,121.256,103.874,104192.845,78627.792
T67,T,0,NET67,T67,121.958,102.674,104285.447,78627.792
T68,T,1,NET68,T68,122.660,103.874,104378.048,78627.792
T69,T,0,NET69,T69,123.362,102.674,104470.650,78627.792
T70,T,1,NET70,T70,124.064,103.874,104563.251,78627.792
T71,T,0,NET71,T71,124.766,102.674,104655.853,78627.792
T72,T,1,NET72,T72,125.468,103.874,104748.455,78627.792
T73,T,0,NET73,T73,126.170,102.674,104841.056,78627.792
T74,T,1,NET74,T74,126.872,103.874,104933.658,78627.792
T75,T,0,NET75,T75,127.574,102.674,105026.259,78627.792
B1,B,0,NET76,B1,75.626,49.726,98173.741,73772.208
B2,B,1,NET77,B2,76.328,48.526,98266.342,73772.208
B3,B,0,NET78,B3,77.030,49.726,98358.944,73772.208
B4,B,1,NET79,B4,77.732,48.526,98451.545,73772.208
B5,B,0,NET80,B5,78.434,49.726,98544.147,73772.208
B6,B,1,NET81,B6,79.136,48.526,98636.749,73772.208
B7,B,0,NET82,B7,79.838,49.726,98729.350,73772.208
B8,B,1,NET83,B8,80.540,48.526,98821.952,73772.208
B9,B,0,NET84,B9,81.242,49.726,98914.553,73772.208
B10,B,1,NET85,B10,81.944,48.526,99007.155,73772.208
B11,B,0,NET86,B11,82.646,49.726,99099.757,73772.208
B12,B,1,NET87,B12,83.348,48.526,99192.358,73772.208
B13,B,0,NET88,B13,84.050,49.726,99284.960,73772.208
B14,B,1,NET89,B14,84.752,48.526,99377.561,73772.208
B15,B,0,NET90,B15,85.454,49.726,99470.163,73772.208
B16,B,1,NET91,B16,86.156,48.526,99562.765,73772.208
B17,B,0,NET92,B17,86.858,49.726,99655.366,73772.208
B18,B,1,NET93,B18,87.560,48.526,99747.968,73772.208
B19,B,0,NET94,B19,88.262,49.726,99840.569,73772.208
B20,B,1,NET95,B20,88.964,48.526,99933.171,73772.208
B21,B,0,NET96,B21,89.666,49.726,100025.773,73772.208
B22,B,1,NET97,B22,90.368,48.526,100118.374,73772.208
B23,B,0,NET98,B23,91.070,49.726,100210.976,73772.208
B24,B,1,NET99,B24,91.772,48.526,100303.578,73772.208
B25,B,0,NET100,B25,92.474,49.726,100396.179,73772.208
B26,B,1,NET101,B26,93.176,48.526,100488.781,73772.208
B27,B,0,NET102,B27,93.878,49.726,100581.382,73772.208
B28,B,1,NET103,B28,94.580,48.526,100673.984,73772.208
B29,B,0,NET104,B29,95.282,49.726,100766.586,73772.208
B30,B,1,NET105,B30,95.984,48.526,100859.187,73772.208
B31,B,0,NET106,B31,96.686,49.726,100951.789,73772.208
B32,B,1,NET107,B32,97.388,48.526,101044.390,73772.208
B33,B,0,NET108,B33,98.090,49.726,101136.992,73772.208
B34,B,1,NET109,B34,98.792,48.526,101229.594,73772.208
B35,B,0,NET110,B35,99.494,49.726,101322.195,73772.208
B36,B,1,NET111,B36,100.196,48.526,101414.797,73772.208
B37,B,0,NET112,B37,100.898,49.726,101507.398,73772.208
B38,B,1,NET113,B38,101.600,48.526,101600.000,73772.208
B39,B,0,NET114,B39,102.302,49.726,101692.602,73772.208
B40,B,1,NET115,B40,103.004,48.526,101785.203,73772.208
B41,B,0,NET116,B41,103.706,49.726,101877.805,73772.208
B42,B,1,NET117,B42,104.408,48.526,101970.406,73772.208
B43,B,0,NET118,B43,105.110,49.726,102063.008,73772.208
B44,B,1,NET119,B44,105.812,48.526,102155.610,73772.208
B45,B,0,NET120,B45,106.514,49.726,102248.211,73772.208
B46,B,1,NET121,B46,107.216,48.526,102340.813,73772.208
B47,B,0,NET122,B47,107.918,49.726,102433.414,73772.208
B48,B,1,NET123,B48,108.620,48.526,102526.016,73772.208
B49,B,0,NET124,B49,109.322,49.726,102618.618,73772.208
B50,B,1,NET125,B50,110.024,48.526,102711.219,73772.208
B51,B,0,NET126,B51,110.726,49.726,102803.821,73772.208
B52,B,1,NET127,B52,111.428,48.526,102896.422,73772.208
B53,B,0,NET128,B53,112.130,49.726,102989.024,73772.208
B54,B,1,NET129,B54,112.832,48.526,103081.626,73772.208
B55,B,0,NET130,B55,113.534,49.726,103174.227,73772.208
B56,B,1,NET131,B56,114.236,48.526,103266.829,73772.208
B57,B,0,NET132,B57,114.938,49.726,103359.431,73772.208
B58,B,1,NET133,B58,115.640,48.526,103452.032,73772.208
B59,B,0,NET134,B59,116.342,49.726,103544.634,73772.208
B60,B,1,NET135,B60,117.044,48.526,103637.235,73772.208
B61,B,0,NET136,B61,117.746,49.726,103729.837,73772.208
B62,B,1,NET137,B62,118.448,48.526,103822.439,73772.208
B63,B,0,NET138,B63,119.150,49.726,103915.040,73772.208
B64,B,1,NET139,B64,119.852,48.526,104007.642,73772.208
B65,B,0,NET140,B65,120.554,49.726,104100.243,73772.208
B66,B,1,NET141,B66,121.256,48.526,104192.845,73772.208
B67,B,0,NET142,B67,121.958,49.726,104285.447,73772.208
B68,B,1,NET143,B68,122.660,48.526,104378.048,73772.208
B69,B,0,NET144,B69,123.362,49.726,104470.650,73772.208
B70,B,1,NET145,B70,124.064,48.526,104563.251,73772.208
B71,B,0,NET146,B71,124.766,49.726,104655.853,73772.208
B72,B,1,NET147,B72,125.468,48.526,104748.455,73772.208
B73,B,0,NET148,B73,126.170,49.726,104841.056,73772.208
B74,B,1,NET149,B74,126.872,48.526,104933.658,73772.208
B75,B,0,NET150,B75,127.574,49.726,105026.259,73772.208
L1,L,0,NET151,L1,70.714,50.226,97664.635,74038.092
L2,L,1,NET152,L2,69.514,50.928,97664.635,74096.522
L3,L,0,NET153,L3,70.714,51.630,97664.635,74154.952
L4,L,1,NET154,L4,69.514,52.332,97664.635,74213.382
