chip,layer,half,input_pad,input_signal,output_pads,actual_R_ohm,total_len_um,group_parallel_R_ohm
1,1,1,B16,VDD18PLL<4>,B23;B32;R26,3956.09,37003,2114.435
1,1,1,B13,VDD18PLL<5>,B23;B32;R26,31681.26,296022,2114.435
1,1,1,B39,VDD18PLL<2>,B23;B32;R26,7975.49,74006,2114.435
1,1,1,B42,VDD18PLL<3>,B23;B32;R26,15818.82,148011,2114.435
1,1,2,T13,VDD18PLL<7>,L12;L13;L19;L21;R11;R14;R17;R20;T50;T67;T70,31681.26,296022,2114.435
1,1,2,T16,VDD18PLL<6>,L12;L13;L19;L21;R11;R14;R17;R20;T50;T67;T70,3956.09,37003,2114.435
1,1,2,T39,VDD18PLL<0>,L12;L13;L19;L21;R11;R14;R17;R20;T50;T67;T70,7975.49,74006,2114.435
1,1,2,T42,VDD18PLL<1>,L12;L13;L19;L21;R11;R14;R17;R20;T50;T67;T70,15818.82,148011,2114.435
2,1,1,B17,VDD08DLL<4>,B23;B32;R26,3962.93,37003,2115.816
2,1,1,B12,VDD08DLL<5>,B23;B32;R26,31676.12,296022,2115.816
2,1,1,B38,VDD08DLL<2>,B23;B32;R26,7966.36,74006,2115.816
2,1,1,B43,VDD08DLL<3>,B23;B32;R26,15823.95,148011,2115.816
2,1,2,T12,VDD08DLL<7>,L12;L13;L19;L21;R11;R14;R17;R20;T50;T67;T70,15916.42,148011,2114.382
2,1,2,T14,VDD08DLL<6>,L12;L13;L19;L21;R11;R14;R17;R20;T50;T67;T70,7900.15,74006,2114.382
2,1,2,T38,VDD08DLL<0>,L12;L13;L19;L21;R11;R14;R17;R20;T50;T67;T70,3966.36,37003,2114.382
2,1,2,T43,VDD08DLL<1>,L12;L13;L19;L21;R11;R14;R17;R20;T50;T67;T70,31823.95,296022,2114.382
3,1,0,T32,SDI,B23;B32;L12;L13;L19;L21;R11;R14;R17;R20;R26;T50;T67;T70,0.00,0,continuity
3,1,0,T35,CSB,B23;B32;L12;L13;L19;L21;R11;R14;R17;R20;R26;T50;T67;T70,0.00,0,continuity
3,1,0,T44,SCK,B23;B32;L12;L13;L19;L21;R11;R14;R17;R20;R26;T50;T67;T70,0.00,0,continuity
3,1,0,T68,SDO,B23;B32;L12;L13;L19;L21;R11;R14;R17;R20;R26;T50;T67;T70,0.00,0,continuity
