chip,layer,input_pad,input_signal,output_pads,actual_R_ohm,total_len_um,group_parallel_R_ohm
1,1,B16,VDD18PLL<4>,B23;L12;L19;R11;R17;R26;T67,979.97,9251,493.074
1,1,T16,VDD18PLL<6>,B23;L12;L19;R11;R17;R26;T67,1979.97,18501,493.074
1,1,B39,VDD18PLL<2>,B23;L12;L19;R11;R17;R26;T67,3882.46,37003,493.074
1,1,T39,VDD18PLL<0>,B23;L12;L19;R11;R17;R26;T67,7882.46,74006,493.074
1,1,B42,VDD18PLL<3>,B23;L12;L19;R11;R17;R26;T67,15807.12,148011,493.074
1,1,T42,VDD18PLL<1>,B23;L12;L19;R11;R17;R26;T67,31807.12,296022,493.074
1,1,B13,VDD18PLL<5>,B23;L12;L19;R11;R17;R26;T67,63921.27,592044,493.074
1,1,T13,VDD18PLL<7>,B23;L12;L19;R11;R17;R26;T67,127921.27,1184089,493.074
1,2,B17,VDD08DLL<4>,B32;L13;L21;R14;R20;T50;T70,967.50,9251,484.808
1,2,B38,VDD08DLL<2>,B32;L13;L21;R14;R20;T50;T70,1891.59,18501,484.808
1,2,T38,VDD08DLL<0>,B32;L13;L21;R14;R20;T50;T70,3881.89,37003,484.808
1,2,T14,VDD08DLL<6>,B32;L13;L21;R14;R20;T50;T70,7980.06,74006,484.808
1,2,B12,VDD08DLL<5>,B32;L13;L21;R14;R20;T50;T70,15948.67,148011,484.808
1,2,T12,VDD08DLL<7>,B32;L13;L21;R14;R20;T50;T70,31944.10,296022,484.808
1,2,B43,VDD08DLL<3>,B32;L13;L21;R14;R20;T50;T70,63801.98,592044,484.808
1,2,T43,VDD08DLL<1>,B32;L13;L21;R14;R20;T50;T70,127801.98,1184089,484.808
2,1,T32,SDI,B23;B32;L12;L13;L19;L21;R11;R14;R17;R20;R26;T50;T67;T70,0.00,0,continuity
2,1,T35,CSB,B23;B32;L12;L13;L19;L21;R11;R14;R17;R20;R26;T50;T67;T70,0.00,0,continuity
2,1,T44,SCK,B23;B32;L12;L13;L19;L21;R11;R14;R17;R20;R26;T50;T67;T70,0.00,0,continuity
2,1,T68,SDO,B23;B32;L12;L13;L19;L21;R11;R14;R17;R20;R26;T50;T67;T70,0.00,0,continuity
