chip,layer,input_pad,input_signal,output_pads,actual_R_ohm,total_len_um,group_parallel_R_ohm
1,1,T12,VDD08DLL<7>,L12;L13;L19,944.10,9251,489.887
1,1,T14,VDD08DLL<6>,L12;L13;L19,1980.06,18501,489.887
1,1,B12,VDD08DLL<5>,L12;L13;L19,3921.27,37003,489.887
1,1,T38,VDD08DLL<0>,L12;L13;L19,7881.89,74006,489.887
1,1,B17,VDD08DLL<4>,L12;L13;L19,15698.10,148011,489.887
1,1,T43,VDD08DLL<1>,L12;L13;L19,31801.98,296022,489.887
1,2,T42,VDD18PLL<1>,R11;R14,879.60,9251,466.823
1,2,T39,VDD18PLL<0>,R11;R14,1915.56,18501,466.823
1,2,B42,VDD18PLL<3>,R11;R14,3831.66,37003,466.823
1,2,B39,VDD18PLL<2>,R11;R14,7797.41,74006,466.823
1,2,T16,VDD18PLL<6>,R11;R14,15958.37,148011,466.823
1,2,T13,VDD18PLL<7>,R11;R14,31921.27,296022,466.823
2,1,B38,VDD08DLL<2>,L12;L13;L19,879.60,9251,591.078
2,1,B43,VDD08DLL<3>,L12;L13;L19,1801.98,18501,591.078
2,2,B16,VDD18PLL<4>,R11;R14,879.60,9251,603.367
2,2,B13,VDD18PLL<5>,R11;R14,1921.27,18501,603.367
3,1,T37,VDD08PA,R17,879.60,9251,469.124
3,1,T34,VDD08PA,R17,1957.80,18501,469.124
3,1,B37,VDD08PA,R17,3808.26,37003,469.124
3,1,T28,VDD08PA,R17,7854.49,74006,469.124
3,1,B34,VDD08PA,R17,15949.24,148011,469.124
3,1,B28,VDD08PA,R17,31872.18,296022,469.124
3,2,B35,VDD18_BG<0>,R20,879.60,9251,594.117
3,2,B20,VDD18_BG<1>,R20,1830.52,18501,594.117
4,1,T21,VDD08PA,R17,879.60,9251,469.364
4,1,T18,VDD08PA,R17,1981.20,18501,469.364
4,1,B21,VDD08PA,R17,3731.77,37003,469.364
4,1,B18,VDD08PA,R17,7897.30,74006,469.364
4,1,T9,VDD08PA,R17,15911.57,148011,469.364
4,1,L9,VDD08PA,R17,31768.30,296022,469.364
4,2,B31,VDD08TIA,R26,879.60,9251,478.911
4,2,T31,VDD08TIA,R26,1772.87,18501,478.911
4,2,B24,VDD08TIA,R26,3849.92,37003,478.911
4,2,T24,VDD08TIA,R26,7849.92,74006,478.911
5,1,L8,VDD08PA,R17,879.60,9251,606.978
5,1,L7,VDD08PA,R17,1958.37,18501,606.978
5,2,T64,VDD08,T50,879.60,9251,467.437
5,2,T29,VDD08,T50,1924.69,18501,467.437
5,2,T26,VDD08,T50,3859.05,37003,467.437
5,2,R13,VDD08,T50,7768.30,74006,467.437
5,2,L10,VDD08,T50,15768.30,148011,467.437
5,2,B29,VDD08,T50,31635.88,296022,467.437
6,1,B26,VDD08,T50,879.60,9251,879.603
6,2,B27,VDD08D,B23,879.60,9251,469.962
6,2,L33,VDD08D,B23,1929.26,18501,469.962
6,2,L23,VDD08D,B23,3946.38,37003,469.962
6,2,L22,VDD08D,B23,7981.77,74006,469.962
6,2,L18,VDD08D,B23,15972.64,148011,469.962
6,2,L17,VDD08D,B23,31915.56,296022,469.962
7,1,L16,VDD08D,B23,879.60,9251,469.950
7,1,T27,VDD08D,B23,1929.83,18501,469.950
7,1,T36,VDD08D,B23,3948.67,37003,469.950
7,1,T10,VDD08D,B23,7972.64,74006,469.950
7,1,T3,VDD08D,B23,15949.81,148011,469.950
7,1,T45,VDD08D,B23,31792.85,296022,469.950
7,2,B46,VDD12LED,B32,879.60,9251,472.287
7,2,B52,VDD12LED,B32,1962.93,18501,472.287
7,2,B53,VDD12LED,B32,3980.63,37003,472.287
7,2,B58,VDD12LED,B32,7968.07,74006,472.287
7,2,B59,VDD12LED,B32,15912.71,148011,472.287
7,2,R37,VDD12LED,B32,31768.30,296022,472.287
8,1,T54,VDD08D,B23,879.60,9251,489.797
8,1,T63,VDD08D,B23,1948.67,18501,489.797
8,1,R16,VDD08D,B23,3768.30,37003,489.797
8,1,T76,VDD08D,B23,7921.27,74006,489.797
8,2,R31,VDD12LED,B32,920.13,9251,471.604
8,2,T46,VDD12LED,B32,1781.43,18501,471.604
8,2,R28,VDD12LED,B32,3963.51,37003,471.604
8,2,T52,VDD12LED,B32,7961.22,74006,471.604
8,2,R22,VDD12LED,B32,15877.89,148011,471.604
8,2,T58,VDD12LED,B32,31869.33,296022,471.604
