chip,layer,input_pad,input_signal,output_pads,actual_R_ohm,total_len_um,group_parallel_R_ohm
1,1,T12,VDD08DLL<7>,L12;L13;L19;B14;B15,944.10,9251,489.887
1,1,T14,VDD08DLL<6>,L12;L13;L19;B14;B15,1980.06,18501,489.887
1,1,B12,VDD08DLL<5>,L12;L13;L19;B14;B15,3921.27,37003,489.887
1,1,T38,VDD08DLL<0>,L12;L13;L19;B14;B15,7881.89,74006,489.887
1,1,B17,VDD08DLL<4>,L12;L13;L19;B14;B15,15698.10,148011,489.887
1,1,T43,VDD08DLL<1>,L12;L13;L19;B14;B15,31801.98,296022,489.887
2,1,B38,VDD08DLL<2>,L12;L13;L19;B14;B15,879.60,9251,591.078
2,1,B43,VDD08DLL<3>,L12;L13;L19;B14;B15,1801.98,18501,591.078
3,1,B11,VDD08BIAS<1>,B14;B15,970.93,9251,494.246
3,1,B10,VDD08BIAS<1>,B14;B15,1957.80,18501,494.246
3,1,B44,VDD08BIAS<0>,B14;B15,3848.78,37003,494.246
3,1,B45,VDD08BIAS<0>,B14;B15,7830.52,74006,494.246
3,1,L21,VATB_RSSI1,B14;B15,15768.30,148011,494.246
3,1,T67,VATB_LED1,B14;B15,31630.75,296022,494.246
4,1,T70,VATB_LED0,B14;B15,879.60,9251,879.603
5,1,T42,VDD18PLL<1>,R11;R14;B14;B15,879.60,9251,466.823
5,1,T39,VDD18PLL<0>,R11;R14;B14;B15,1915.56,18501,466.823
5,1,B42,VDD18PLL<3>,R11;R14;B14;B15,3831.66,37003,466.823
5,1,B39,VDD18PLL<2>,R11;R14;B14;B15,7797.41,74006,466.823
5,1,T16,VDD18PLL<6>,R11;R14;B14;B15,15958.37,148011,466.823
5,1,T13,VDD18PLL<7>,R11;R14;B14;B15,31921.27,296022,466.823
6,1,B16,VDD18PLL<4>,R11;R14;B14;B15,879.60,9251,603.367
6,1,B13,VDD18PLL<5>,R11;R14;B14;B15,1921.27,18501,603.367
7,1,T37,VDD08PA,R17;B14;B15,879.60,9251,469.124
7,1,T34,VDD08PA,R17;B14;B15,1957.80,18501,469.124
7,1,B37,VDD08PA,R17;B14;B15,3808.26,37003,469.124
7,1,T28,VDD08PA,R17;B14;B15,7854.49,74006,469.124
7,1,B34,VDD08PA,R17;B14;B15,15949.24,148011,469.124
7,1,B28,VDD08PA,R17;B14;B15,31872.18,296022,469.124
8,1,T21,VDD08PA,R17;B14;B15,879.60,9251,469.364
8,1,T18,VDD08PA,R17;B14;B15,1981.20,18501,469.364
8,1,B21,VDD08PA,R17;B14;B15,3731.77,37003,469.364
8,1,B18,VDD08PA,R17;B14;B15,7897.30,74006,469.364
8,1,T9,VDD08PA,R17;B14;B15,15911.57,148011,469.364
8,1,L9,VDD08PA,R17;B14;B15,31768.30,296022,469.364
9,1,L8,VDD08PA,R17;B14;B15,879.60,9251,606.978
9,1,L7,VDD08PA,R17;B14;B15,1958.37,18501,606.978
10,1,B35,VDD18_BG<0>,R20;B14;B15,879.60,9251,594.117
10,1,B20,VDD18_BG<1>,R20;B14;B15,1830.52,18501,594.117
11,1,B31,VDD08TIA,R26;B14;B15,879.60,9251,478.911
11,1,T31,VDD08TIA,R26;B14;B15,1772.87,18501,478.911
11,1,B24,VDD08TIA,R26;B14;B15,3849.92,37003,478.911
11,1,T24,VDD08TIA,R26;B14;B15,7849.92,74006,478.911
12,1,T64,VDD08,T50;B14;B15,879.60,9251,467.437
12,1,T29,VDD08,T50;B14;B15,1924.69,18501,467.437
12,1,T26,VDD08,T50;B14;B15,3859.05,37003,467.437
12,1,R13,VDD08,T50;B14;B15,7768.30,74006,467.437
12,1,L10,VDD08,T50;B14;B15,15768.30,148011,467.437
12,1,B29,VDD08,T50;B14;B15,31635.88,296022,467.437
13,1,B26,VDD08,T50;B14;B15,879.60,9251,879.603
14,1,B27,VDD08D,B23;B14;B15,879.60,9251,469.962
14,1,L33,VDD08D,B23;B14;B15,1929.26,18501,469.962
14,1,L23,VDD08D,B23;B14;B15,3946.38,37003,469.962
14,1,L22,VDD08D,B23;B14;B15,7981.77,74006,469.962
14,1,L18,VDD08D,B23;B14;B15,15972.64,148011,469.962
14,1,L17,VDD08D,B23;B14;B15,31915.56,296022,469.962
